[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Sunday, November 29,2020 00:59:23       
[DoS attack: RST Scan] from source: 73.98.48.202:23907, Sunday, November 29,2020 00:57:13       
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Sunday, November 29,2020 00:50:57       
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Sunday, November 29,2020 00:49:58       
[DoS attack: RST Scan] from source: 72.30.3.55:993, Sunday, November 29,2020 00:48:53       
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Sunday, November 29,2020 00:47:46       
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Sunday, November 29,2020 00:34:05       
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Sunday, November 29,2020 00:00:20       
[DoS attack: RST Scan] from source: 17.253.144.10:443, Saturday, November 28,2020 23:39:41     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 22:52:50     
[DoS attack: RST Scan] from source: 23.59.20.65:443, Saturday, November 28,2020 22:49:06     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 22:22:28     
[DHCP IP: (192.168.1.5)] to MAC address A8:10:87:4F:0B:56, Saturday, November 28,2020 20:48:17     
[DoS attack: RST Scan] from source: 216.58.192.133:443, Saturday, November 28,2020 20:38:29     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 20:37:50     
[DoS attack: RST Scan] from source: 17.253.49.201:443, Saturday, November 28,2020 20:33:08     
[DoS attack: RST Scan] from source: 17.248.131.212:443, Saturday, November 28,2020 20:28:13     
[DoS attack: RST Scan] from source: 23.56.175.104:443, Saturday, November 28,2020 20:24:32     
[DoS attack: RST Scan] from source: 172.217.4.101:443, Saturday, November 28,2020 20:24:01     
[DHCP IP: (192.168.1.15)] to MAC address C0:D2:F3:7E:03:F0, Saturday, November 28,2020 19:55:31     
[DoS attack: RST Scan] from source: 157.240.2.20:443, Saturday, November 28,2020 19:34:23     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 19:32:07     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 19:32:04     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 19:32:02     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Saturday, November 28,2020 19:29:58     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Saturday, November 28,2020 19:29:57     
[DHCP IP: (192.168.1.3)] to MAC address F8:36:9B:81:2E:F3, Saturday, November 28,2020 19:13:51     
[DHCP IP: (192.168.1.12)] to MAC address CC:46:4E:CB:54:8C, Saturday, November 28,2020 18:52:20     
[DoS attack: RST Scan] from source: 157.240.2.20:443, Saturday, November 28,2020 17:44:00     
[DoS attack: RST Scan] from source: 23.56.175.90:443, Saturday, November 28,2020 17:06:00     
[DoS attack: RST Scan] from source: 104.91.200.181:443, Saturday, November 28,2020 16:54:03     
[DHCP IP: (192.168.1.4)] to MAC address F0:81:73:DA:3F:2F, Saturday, November 28,2020 16:41:21     
[DoS attack: RST Scan] from source: 17.248.131.148:443, Saturday, November 28,2020 16:36:05     
[DHCP IP: (192.168.1.6)] to MAC address B0:B9:8A:5E:DF:F1, Saturday, November 28,2020 16:07:50     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Saturday, November 28,2020 15:58:22     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 15:58:21     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, November 28,2020 15:33:55     
[DHCP IP: (192.168.1.10)] to MAC address F8:36:9B:83:36:A2, Saturday, November 28,2020 15:33:55     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:¼G@7A:9D, Saturday, November 28,2020 15:06:53     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 15:06:49     
[DoS attack: RST Scan] from source: 69.171.250.20:443, Saturday, November 28,2020 15:01:36     
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Saturday, November 28,2020 13:53:37     
[DHCP IP: (192.168.1.16)] to MAC address 0C:96:E6:02:D1:1F, Saturday, November 28,2020 13:45:18     
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Saturday, November 28,2020 13:35:08     
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Saturday, November 28,2020 13:35:06     
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Saturday, November 28,2020 13:35:05     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 13:35:02     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Saturday, November 28,2020 13:35:02     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:47:46     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:46:12     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:44:47     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:41:59     
[DoS attack: RST Scan] from source: 68.67.161.182:443, Saturday, November 28,2020 12:36:51     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:36:21     
